                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74581,                 4.0978,                 1.2803,                      0,                      0,                      0,                      0,                0.47388,                 4.9396,                 1.1778,                  4e-06,                  4e-06,                  4e-06
                      2,                 0.9883,                 4.2126,                 1.5898,                      0,                      0,                      0,                      0,                0.47316,                 4.9495,                 1.1996,             1.1881e-05,             1.1881e-05,             1.1881e-05
                      3,                 0.8149,                 4.1165,                 1.3269,                      0,                      0,                      0,                      0,                0.48789,                 4.9916,                 1.1973,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      4,                 1.0478,                  4.604,                  1.501,                      0,                      0,                      0,                      0,                0.50003,                 5.0037,                 1.2302,             2.7168e-05,             2.7168e-05,             2.7168e-05
                      5,                 1.1042,                  4.356,                 1.6883,                      0,                      0,                      0,                      0,                 0.5176,                 4.9585,                 1.2437,             3.4574e-05,             3.4574e-05,             3.4574e-05
                      6,                0.83907,                  4.251,                 1.4968,                      0,                      0,                      0,                      0,                0.58864,                 4.9942,                  1.266,             4.1822e-05,             4.1822e-05,             4.1822e-05
                      7,                 0.7267,                 4.2946,                 1.3345,                      0,                      0,                      0,                      0,                0.58225,                 5.0561,                 1.2948,             4.8911e-05,             4.8911e-05,             4.8911e-05
                      8,                0.64222,                 3.9612,                 1.1785,                      0,                      0,                      0,                      0,                0.61306,                 5.0252,                 1.3164,             5.5842e-05,             5.5842e-05,             5.5842e-05
                      9,                0.75322,                 4.0158,                  1.366,                      0,                      0,                      0,                      0,                0.61506,                 5.0102,                 1.2887,             6.2614e-05,             6.2614e-05,             6.2614e-05
                     10,                 0.8042,                 4.0222,                 1.3871,                      0,                      0,                      0,                      0,                0.61573,                 4.9899,                 1.2945,             6.9228e-05,             6.9228e-05,             6.9228e-05
                     11,                0.62601,                 3.9565,                 1.2473,                      0,                      0,                      0,                      0,                 0.6319,                 5.0002,                 1.2568,             7.5684e-05,             7.5684e-05,             7.5684e-05
                     12,                0.57102,                 3.7865,                 1.2205,                      0,                      0,                      0,                      0,                0.64704,                 5.0158,                  1.205,             8.1981e-05,             8.1981e-05,             8.1981e-05
                     13,                0.68409,                 3.7865,                 1.2034,                      0,                      0,                      0,                      0,                0.62159,                 4.9893,                 1.2212,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                0.64673,                 3.6665,                 1.1542,                      0,                      0,                      0,                      0,                0.58072,                 4.9387,                 1.2206,               9.41e-05,               9.41e-05,               9.41e-05
                     15,                0.70725,                 3.7268,                 1.3121,                      0,                      0,                      0,                      0,                0.56435,                 4.9185,                  1.216,             9.9922e-05,             9.9922e-05,             9.9922e-05
                     16,                0.68196,                 3.6427,                 1.3096,                      0,                      0,                      0,                      0,                0.50497,                 4.9482,                 1.1789,             0.00010559,             0.00010559,             0.00010559
                     17,                0.57472,                 3.5614,                 1.1639,                0.33333,                0.33333,                0.33167,                 0.2985,                0.48376,                 4.8957,                 1.1376,             0.00011109,             0.00011109,             0.00011109
